commit,gpu,driver,nvcc,torch,ncu,clock_mhz,impl,stage,dtype,B,H,N,D,causal,ms_median,ms_p10,ms_p90,tflops,gbps,notes
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,,sdpa_flash,0,fp16,2,8,2048,64,0,,,,,,run=2026-09-03T07:57:33Z;backend_refused:Memory efficient kernel not used because: (Triggered internally at /pytorch/aten/src/ATen/native/transformers/cuda/sdp_utils.cpp:986.) | Memory Efficient attention has been runtime disabled. (Triggere
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,,sdpa_cudnn,0,fp16,2,8,2048,64,0,,,,,,run=2026-09-03T07:57:33Z;backend_refused:Memory efficient kernel not used because: (Triggered internally at /pytorch/aten/src/ATen/native/transformers/cuda/sdp_utils.cpp:986.) | Memory Efficient attention has been runtime disabled. (Triggere
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,,flash_attn,0,fp16,2,8,2048,64,0,,,,,,run=2026-09-03T07:57:33Z;backend_refused:not importable: No module named 'flash_attn'
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,wmma,4,fp16,2,8,2048,64,0,3.9442,3.9302,3.9564,4.356,4.3,run=2026-09-03T07:57:33Z;clock_lock=585;iters=127;max_err=1.216e-04 torch_same_dtype_err=2.687e-04 tol=5.385e-04 cap=1e-02
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,sdpa_efficient,0,fp16,2,8,2048,64,0,2.4863,2.4822,2.4905,6.910,6.8,run=2026-09-03T07:57:33Z;clock_lock=585;iters=200;max_err=1.216e-04 torch_same_dtype_err=2.687e-04 tol=5.385e-04 cap=1e-02
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,sdpa_math_fp32,0,fp16,2,8,2048,64,0,14.0648,14.0511,14.0780,1.221,78.7,oracle_not_speed_baseline;run=2026-09-03T07:57:33Z;clock_lock=585;iters=100;max_err=4.176e-07 torch_same_dtype_err=2.687e-04 tol=5.385e-04 cap=1e-02
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,torch_unfused,0,fp16,2,8,2048,64,0,4.8149,4.8092,4.8210,3.568,115.0,run=2026-09-03T07:57:33Z;clock_lock=585;iters=104;max_err=2.687e-04 torch_same_dtype_err=2.687e-04 tol=5.385e-04 cap=1e-02
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,,sdpa_flash,0,fp16,2,8,2048,128,0,,,,,,run=2026-09-03T07:57:33Z;backend_refused:Memory efficient kernel not used because: (Triggered internally at /pytorch/aten/src/ATen/native/transformers/cuda/sdp_utils.cpp:986.) | Memory Efficient attention has been runtime disabled. (Triggere
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,,sdpa_cudnn,0,fp16,2,8,2048,128,0,,,,,,run=2026-09-03T07:57:33Z;backend_refused:Memory efficient kernel not used because: (Triggered internally at /pytorch/aten/src/ATen/native/transformers/cuda/sdp_utils.cpp:986.) | Memory Efficient attention has been runtime disabled. (Triggere
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,,flash_attn,0,fp16,2,8,2048,128,0,,,,,,run=2026-09-03T07:57:33Z;backend_refused:not importable: No module named 'flash_attn'
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,wmma,4,fp16,2,8,2048,128,0,11.1697,11.0973,11.2300,3.076,3.0,run=2026-09-03T07:57:33Z;clock_lock=585;iters=100;max_err=7.863e-05 torch_same_dtype_err=5.256e-04 tol=1.052e-03 cap=1e-02
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,sdpa_efficient,0,fp16,2,8,2048,128,0,5.0038,4.9924,5.0154,6.867,6.7,run=2026-09-03T07:57:33Z;clock_lock=585;iters=100;max_err=7.863e-05 torch_same_dtype_err=5.256e-04 tol=1.052e-03 cap=1e-02
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,sdpa_math_fp32,0,fp16,2,8,2048,128,0,19.8669,19.8539,19.8812,1.729,57.4,oracle_not_speed_baseline;run=2026-09-03T07:57:33Z;clock_lock=585;iters=100;max_err=3.628e-07 torch_same_dtype_err=5.256e-04 tol=1.052e-03 cap=1e-02
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,torch_unfused,0,fp16,2,8,2048,128,0,5.2654,5.2592,5.2706,6.526,108.3,run=2026-09-03T07:57:33Z;clock_lock=585;iters=100;max_err=5.256e-04 torch_same_dtype_err=5.256e-04 tol=1.052e-03 cap=1e-02
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,,sdpa_flash,0,fp16,1,8,128,64,0,,,,,,run=2026-09-03T07:58:48Z;backend_refused:Memory efficient kernel not used because: (Triggered internally at /pytorch/aten/src/ATen/native/transformers/cuda/sdp_utils.cpp:986.) | Memory Efficient attention has been runtime disabled. (Triggere
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,,sdpa_cudnn,0,fp16,1,8,128,64,0,,,,,,run=2026-09-03T07:58:48Z;backend_refused:Memory efficient kernel not used because: (Triggered internally at /pytorch/aten/src/ATen/native/transformers/cuda/sdp_utils.cpp:986.) | Memory Efficient attention has been runtime disabled. (Triggere
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,,flash_attn,0,fp16,1,8,128,64,0,,,,,,run=2026-09-03T07:58:48Z;backend_refused:not importable: No module named 'flash_attn'
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,wmma,4,fp16,1,8,128,64,0,0.0279,0.0270,0.0286,1.202,18.9,run=2026-09-03T07:58:48Z;clock_lock=585;iters=1000;max_err=2.848e-04 torch_same_dtype_err=6.489e-04 tol=1.299e-03 cap=1e-02
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,sdpa_efficient,0,fp16,1,8,128,64,0,0.0357,0.0349,0.0366,0.939,14.8,run=2026-09-03T07:58:48Z;clock_lock=585;iters=1000;max_err=2.848e-04 torch_same_dtype_err=6.489e-04 tol=1.299e-03 cap=1e-02
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,sdpa_math_fp32,0,fp16,1,8,128,64,0,0.1207,0.1195,0.1210,0.278,26.1,oracle_not_speed_baseline;run=2026-09-03T07:58:48Z;clock_lock=585;iters=1000;max_err=3.739e-07 torch_same_dtype_err=6.489e-04 tol=1.299e-03 cap=1e-02
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,torch_unfused,0,fp16,1,8,128,64,0,0.0554,0.0551,0.0564,0.606,28.4,run=2026-09-03T07:58:48Z;clock_lock=585;iters=1000;max_err=6.489e-04 torch_same_dtype_err=6.489e-04 tol=1.299e-03 cap=1e-02
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,,sdpa_flash,0,fp16,1,8,128,64,1,,,,,,flops=full;run=2026-09-03T07:58:48Z;backend_refused:Memory efficient kernel not used because: (Triggered internally at /pytorch/aten/src/ATen/native/transformers/cuda/sdp_utils.cpp:986.) | Memory Efficient attention has been runtime disabled. (Triggere
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,,sdpa_cudnn,0,fp16,1,8,128,64,1,,,,,,flops=full;run=2026-09-03T07:58:48Z;backend_refused:Memory efficient kernel not used because: (Triggered internally at /pytorch/aten/src/ATen/native/transformers/cuda/sdp_utils.cpp:986.) | Memory Efficient attention has been runtime disabled. (Triggere
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,,flash_attn,0,fp16,1,8,128,64,1,,,,,,flops=full;run=2026-09-03T07:58:48Z;backend_refused:not importable: No module named 'flash_attn'
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,wmma,4,fp16,1,8,128,64,1,0.0282,0.0273,0.0287,1.189,18.7,flops=full;run=2026-09-03T07:58:48Z;clock_lock=585;iters=1000;max_err=9.831e-04 torch_same_dtype_err=1.635e-03 tol=3.271e-03 cap=1e-02
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,sdpa_efficient,0,fp16,1,8,128,64,1,0.0359,0.0351,0.0367,0.934,14.7,flops=full;run=2026-09-03T07:58:48Z;clock_lock=585;iters=1000;max_err=9.831e-04 torch_same_dtype_err=1.635e-03 tol=3.271e-03 cap=1e-02
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,sdpa_math_fp32,0,fp16,1,8,128,64,1,0.1537,0.1534,0.1549,0.218,20.5,oracle_not_speed_baseline;flops=full;run=2026-09-03T07:58:48Z;clock_lock=585;iters=1000;max_err=6.744e-07 torch_same_dtype_err=1.635e-03 tol=3.271e-03 cap=1e-02
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,torch_unfused,0,fp16,1,8,128,64,1,0.0717,0.0711,0.0725,0.468,21.9,flops=full;run=2026-09-03T07:58:48Z;clock_lock=585;iters=1000;max_err=1.635e-03 torch_same_dtype_err=1.635e-03 tol=3.271e-03 cap=1e-02
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,,sdpa_flash,0,fp16,8,32,128,64,0,,,,,,run=2026-09-03T07:58:48Z;backend_refused:Memory efficient kernel not used because: (Triggered internally at /pytorch/aten/src/ATen/native/transformers/cuda/sdp_utils.cpp:986.) | Memory Efficient attention has been runtime disabled. (Triggere
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,,sdpa_cudnn,0,fp16,8,32,128,64,0,,,,,,run=2026-09-03T07:58:48Z;backend_refused:Memory efficient kernel not used because: (Triggered internally at /pytorch/aten/src/ATen/native/transformers/cuda/sdp_utils.cpp:986.) | Memory Efficient attention has been runtime disabled. (Triggere
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,,flash_attn,0,fp16,8,32,128,64,0,,,,,,run=2026-09-03T07:58:48Z;backend_refused:not importable: No module named 'flash_attn'
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,wmma,4,fp16,8,32,128,64,0,0.3241,0.3236,0.3255,3.313,52.2,run=2026-09-03T07:58:48Z;clock_lock=585;iters=1000;max_err=2.577e-04 torch_same_dtype_err=8.056e-04 tol=1.612e-03 cap=1e-02
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,sdpa_efficient,0,fp16,8,32,128,64,0,0.2160,0.2131,0.2191,4.970,78.3,run=2026-09-03T07:58:48Z;clock_lock=585;iters=1000;max_err=2.577e-04 torch_same_dtype_err=8.056e-04 tol=1.612e-03 cap=1e-02
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,sdpa_math_fp32,0,fp16,8,32,128,64,0,1.1865,1.1842,1.1888,0.905,84.8,oracle_not_speed_baseline;run=2026-09-03T07:58:48Z;clock_lock=585;iters=415;max_err=8.542e-07 torch_same_dtype_err=8.056e-04 tol=1.612e-03 cap=1e-02
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,torch_unfused,0,fp16,8,32,128,64,0,0.4129,0.4096,0.4157,2.600,121.9,run=2026-09-03T07:58:48Z;clock_lock=585;iters=1000;max_err=8.056e-04 torch_same_dtype_err=8.056e-04 tol=1.612e-03 cap=1e-02
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,,sdpa_flash,0,fp16,8,32,128,64,1,,,,,,flops=full;run=2026-09-03T07:58:48Z;backend_refused:Memory efficient kernel not used because: (Triggered internally at /pytorch/aten/src/ATen/native/transformers/cuda/sdp_utils.cpp:986.) | Memory Efficient attention has been runtime disabled. (Triggere
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,,sdpa_cudnn,0,fp16,8,32,128,64,1,,,,,,flops=full;run=2026-09-03T07:58:48Z;backend_refused:Memory efficient kernel not used because: (Triggered internally at /pytorch/aten/src/ATen/native/transformers/cuda/sdp_utils.cpp:986.) | Memory Efficient attention has been runtime disabled. (Triggere
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,,flash_attn,0,fp16,8,32,128,64,1,,,,,,flops=full;run=2026-09-03T07:58:48Z;backend_refused:not importable: No module named 'flash_attn'
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,wmma,4,fp16,8,32,128,64,1,0.2636,0.2621,0.2650,4.073,64.1,flops=full;run=2026-09-03T07:58:48Z;clock_lock=585;iters=1000;max_err=8.584e-04 torch_same_dtype_err=1.137e-03 tol=2.274e-03 cap=1e-02
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,sdpa_efficient,0,fp16,8,32,128,64,1,0.1762,0.1741,0.1785,6.095,96.0,flops=full;run=2026-09-03T07:58:48Z;clock_lock=585;iters=1000;max_err=8.584e-04 torch_same_dtype_err=1.137e-03 tol=2.274e-03 cap=1e-02
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,sdpa_math_fp32,0,fp16,8,32,128,64,1,1.3581,1.3558,1.3611,0.791,74.1,oracle_not_speed_baseline;flops=full;run=2026-09-03T07:58:48Z;clock_lock=585;iters=362;max_err=6.380e-07 torch_same_dtype_err=1.137e-03 tol=2.274e-03 cap=1e-02
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,torch_unfused,0,fp16,8,32,128,64,1,0.6568,0.6533,0.6595,1.635,76.6,flops=full;run=2026-09-03T07:58:48Z;clock_lock=585;iters=749;max_err=1.137e-03 torch_same_dtype_err=1.137e-03 tol=2.274e-03 cap=1e-02
3add37c,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,,sdpa_flash,0,fp16,1,8,128,128,0,,,,,,run=2026-09-03T07:58:48Z;backend_refused:Memory efficient kernel not used because: (Triggered internally at /pytorch/aten/src/ATen/native/transformers/cuda/sdp_utils.cpp:986.) | Memory Efficient attention has been runtime disabled. (Triggere
